18:55.06 1996-10-11 67 autorun.inf
18:00.06 1998-07-29 127488 directx/dsetup.dll
18:00.06 1998-07-29 63248 directx/dsetup16.dll
18:00.06 1998-07-29 51712 directx/dsetup32.dll
18:00.06 1998-07-29 1147 directx/directx/d3d.inf
18:00.06 1998-07-29 540432 directx/directx/d3dim.dll
18:00.06 1998-07-29 87312 directx/directx/d3dpmesh.dll
18:00.06 1998-07-29 436496 directx/directx/d3drm.dll
18:00.06 1998-07-29 693 directx/directx/d3drm.inf
18:00.06 1998-07-29 107792 directx/directx/d3dxof.dll
18:00.06 1998-07-29 38672 directx/directx/ddhelp.exe
18:00.06 1998-07-29 308496 directx/directx/ddraw.dll
18:00.06 1998-07-29 4222 directx/directx/ddraw.inf
18:00.06 1998-07-29 30381 directx/directx/ddraw.vxd
17:00.00 1997-07-14 18602 directx/directx/vmcpd.x86
18:00.06 1998-07-29 13271 directx/directx/dijoydut.hlp
18:00.06 1998-07-29 13589 directx/directx/dijoyfrn.hlp
18:00.06 1998-07-29 208 directx/directx/dxver.inf
17:00.00 1997-07-14 564224 directx/directx/gcdef.dll
17:00.00 1997-07-14 80384 directx/directx/gchand.dll
17:00.00 1997-07-14 229888 directx/directx/joy.cpl
08:00.38 1998-04-08 38690 directx/directx/drivers/eng/5631_dig.ini
08:00.38 1998-04-08 38120 directx/directx/drivers/eng/5631_hwc.ini
08:00.38 1998-04-08 103445 directx/directx/drivers/eng/5631_swc.ini
08:00.38 1998-04-08 33422 directx/directx/drivers/eng/8811_dig.ini
08:00.38 1998-04-08 34675 directx/directx/drivers/eng/8811_hwc.ini
08:00.40 1998-04-08 36613 directx/directx/drivers/eng/8811_swc.ini
08:00.40 1998-04-08 47471 directx/directx/drivers/eng/8814_dig.ini
08:00.40 1998-04-08 37651 directx/directx/drivers/eng/8814_hwc.ini
08:00.40 1998-04-08 37651 directx/directx/drivers/eng/8814_swc.ini
08:00.40 1998-04-08 27427 directx/directx/drivers/eng/ati.vxd
08:00.44 1998-04-08 129584 directx/directx/drivers/eng/atim8.drv
08:01.16 1998-04-08 9056 directx/directx/drivers/eng/wfm0203.acv
08:01.16 1998-04-08 9004 directx/directx/drivers/eng/wfm0203a.csp
08:01.16 1998-04-08 9712 directx/directx/drivers/eng/wstream.dll
08:01.14 1998-04-08 14943 directx/directx/drivers/eng/video7.vxd
08:01.14 1998-04-08 30320 directx/directx/drivers/eng/vjoyd.vxd
08:01.14 1998-04-08 18586 directx/directx/drivers/eng/vmvid.vxd
08:01.14 1998-04-08 24162 directx/directx/drivers/eng/vpasd.vxd
08:01.14 1998-04-08 52064 directx/directx/drivers/eng/vga.drv
08:01.10 1998-04-08 326144 directx/directx/drivers/eng/s3v.dll
08:01.10 1998-04-08 117296 directx/directx/drivers/eng/s3v.drv
08:01.08 1998-04-08 4560 directx/directx/drivers/eng/s3_cp3cq.dll
08:01.10 1998-04-08 114237 directx/directx/drivers/eng/sb16.vxd
08:01.10 1998-04-08 28317 directx/directx/drivers/eng/sb16awe.inf
08:01.16 1998-04-08 5184 directx/directx/drivers/eng/wfm0201.acv
08:01.16 1998-04-08 6776 directx/directx/drivers/eng/wfm0201a.csp
08:01.16 1998-04-08 9056 directx/directx/drivers/eng/wfm0202.acv
08:01.16 1998-04-08 9004 directx/directx/drivers/eng/wfm0202a.csp
08:00.50 1998-04-08 3717 directx/directx/drivers/eng/dxrend.inf
08:00.50 1998-04-08 17315 directx/directx/drivers/eng/dxs3.inf
08:00.48 1998-04-08 3600 directx/directx/drivers/eng/ct_65550.dll
08:00.48 1998-04-08 8225 directx/directx/drivers/eng/cwbaudio.bin
08:00.48 1998-04-08 227904 directx/directx/drivers/eng/cwbaudio.drv
