15:33.38 1998-11-13 67 AUTORUN.INF
18:10.00 1999-01-08 1580 DIRECTX/DIRECTX/D3D.INF
18:10.00 1999-01-08 610064 DIRECTX/DIRECTX/D3DIM.DLL
18:10.00 1999-01-08 87312 DIRECTX/DIRECTX/D3DPMESH.DLL
18:10.00 1999-01-08 590096 DIRECTX/DIRECTX/D3DRAMP.DLL
18:10.00 1999-01-08 437008 DIRECTX/DIRECTX/D3DRM.DLL
18:00.06 1998-07-29 693 DIRECTX/DIRECTX/D3DRM.INF
18:10.00 1999-01-08 107792 DIRECTX/DIRECTX/D3DXOF.DLL
18:10.00 1999-01-08 38672 DIRECTX/DIRECTX/DDHELP.EXE
18:10.00 1999-01-08 310544 DIRECTX/DIRECTX/DDRAW.DLL
18:00.06 1998-07-29 4466 DIRECTX/DIRECTX/DDRAW.INF
18:10.00 1999-01-08 30389 DIRECTX/DIRECTX/DDRAW.VXD
18:10.00 1999-01-08 28000 DIRECTX/DIRECTX/DDRAW16.DLL
18:10.00 1999-01-08 24848 DIRECTX/DIRECTX/DDRAWEX.DLL
17:00.00 1997-07-14 16339 DIRECTX/DIRECTX/DIJOY.HLP
18:00.06 1998-07-29 13330 DIRECTX/DIRECTX/DIJOYBRZ.HLP
18:00.06 1998-07-29 12778 DIRECTX/DIRECTX/DIJOYCHS.HLP
18:00.06 1998-07-29 19401 DIRECTX/DIRECTX/DIJOYCHT.HLP
18:00.06 1998-07-29 13511 DIRECTX/DIRECTX/DIJOYCZE.HLP
18:00.06 1998-07-29 13271 DIRECTX/DIRECTX/DIJOYDUT.HLP
18:00.06 1998-07-29 13589 DIRECTX/DIRECTX/DIJOYFRN.HLP
18:00.06 1998-07-29 13678 DIRECTX/DIRECTX/DIJOYGER.HLP
18:00.06 1998-07-29 13493 DIRECTX/DIRECTX/DIJOYITN.HLP
18:00.06 1998-07-29 13424 DIRECTX/DIRECTX/DIJOYJPN.HLP
18:00.06 1998-07-29 13647 DIRECTX/DIRECTX/DIJOYKOR.HLP
18:00.06 1998-07-29 13424 DIRECTX/DIRECTX/DIJOYNEC.HLP
18:00.06 1998-07-29 13778 DIRECTX/DIRECTX/DIJOYPOL.HLP
18:00.06 1998-07-29 13812 DIRECTX/DIRECTX/DIJOYRUS.HLP
18:00.06 1998-07-29 13618 DIRECTX/DIRECTX/DIJOYSPA.HLP
18:00.06 1998-07-29 13343 DIRECTX/DIRECTX/DIJOYSWE.HLP
17:00.00 1997-07-14 175616 DIRECTX/DIRECTX/DINPUT.DLL
18:00.06 1998-07-29 13301 DIRECTX/DIRECTX/DINPUT.INF
17:00.00 1997-07-14 16986 DIRECTX/DIRECTX/DINPUT.VXD
02:57.22 1999-01-08 5301 DIRECTX/DIRECTX/DIRECTX.INF
18:10.00 1999-01-08 27920 DIRECTX/DIRECTX/DMBAND.DLL
18:10.00 1999-01-08 48912 DIRECTX/DIRECTX/DMCOMPOS.DLL
18:10.00 1999-01-08 79120 DIRECTX/DIRECTX/DMIME.DLL
18:10.00 1999-01-08 22800 DIRECTX/DIRECTX/DMLOADER.DLL
18:10.00 1999-01-08 82192 DIRECTX/DIRECTX/DMSTYLE.DLL
18:10.00 1999-01-08 51472 DIRECTX/DIRECTX/DMSYNTH.DLL
18:10.00 1999-01-08 46352 DIRECTX/DIRECTX/DMUSIC.DLL
18:10.00 1999-01-08 11328 DIRECTX/DIRECTX/DMUSIC16.DLL
18:10.00 1999-01-08 16144 DIRECTX/DIRECTX/DMUSIC32.DLL
17:00.00 1997-07-14 39936 DIRECTX/DIRECTX/DPLAY.DLL
18:10.00 1999-01-08 14338 DIRECTX/DIRECTX/DPLAY.INF
17:00.00 1997-07-14 1549 DIRECTX/DIRECTX/DPLAYDX2.INF
18:10.00 1999-01-08 29968 DIRECTX/DIRECTX/DPLAYSVR.EXE
18:10.00 1999-01-08 215824 DIRECTX/DIRECTX/DPLAYX.DLL
18:10.00 1999-01-08 77072 DIRECTX/DIRECTX/DPMODEMX.DLL
17:00.00 1997-07-14 41472 DIRECTX/DIRECTX/DPSERIAL.DLL
17:00.00 1997-07-14 24064 DIRECTX/DIRECTX/DPWSOCK.DLL
18:10.00 1999-01-08 65808 DIRECTX/DIRECTX/DPWSOCKX.DLL
06:59.14 1998-04-08 26778 DIRECTX/DIRECTX/DRIVERS/BRZ/AZT16.VXD
06:59.14 1998-04-08 42592 DIRECTX/DIRECTX/DRIVERS/BRZ/AZT16C.DRV
06:59.14 1998-04-08 44224 DIRECTX/DIRECTX/DRIVERS/BRZ/AZT16W.DRV
06:59.14 1998-04-08 228907 DIRECTX/DIRECTX/DRIVERS/BRZ/CWBAUDIO.DRV
20:19.40 1998-06-29 28485 DIRECTX/DIRECTX/DRIVERS/BRZ/CWBAUDIO.INF
06:59.16 1998-04-08 14521 DIRECTX/DIRECTX/DRIVERS/BRZ/CWBMIDI.VXD
06:59.00 1998-11-20 19409 DIRECTX/DIRECTX/DRIVERS/BRZ/DRIVERS.DDB
06:59.16 1998-04-08 9850 DIRECTX/DIRECTX/DRIVERS/BRZ/DXATI.INF
06:59.16 1998-04-08 5346 DIRECTX/DIRECTX/DRIVERS/BRZ/DXCHIPS.INF
06:59.16 1998-04-08 9885 DIRECTX/DIRECTX/DRIVERS/BRZ/DXCIRRUS.INF
06:59.16 1998-04-08 545 DIRECTX/DIRECTX/DRIVERS/BRZ/DXGLINT.INF
06:59.16 1998-04-08 2952 DIRECTX/DIRECTX/DRIVERS/BRZ/DXI128.INF
08:45.44 1998-04-15 2511 DIRECTX/DIRECTX/DRIVERS/BRZ/DXMGA.INF
06:59.16 1998-04-08 1606 DIRECTX/DIRECTX/DRIVERS/BRZ/DXMM3DFX.INF
06:59.16 1998-04-08 2278 DIRECTX/DIRECTX/DRIVERS/BRZ/DXNEOM.INF
06:59.16 1998-04-08 6317 DIRECTX/DIRECTX/DRIVERS/BRZ/DXPMEDIA.INF
06:59.16 1998-04-08 3759 DIRECTX/DIRECTX/DRIVERS/BRZ/DXREND.INF
06:59.16 1998-04-08 17462 DIRECTX/DIRECTX/DRIVERS/BRZ/DXS3.INF
06:59.16 1998-04-08 2599 DIRECTX/DIRECTX/DRIVERS/BRZ/DXTRID.INF
06:59.16 1998-04-08 6017 DIRECTX/DIRECTX/DRIVERS/BRZ/DXTSENG.INF
06:59.16 1998-04-08 3607 DIRECTX/DIRECTX/DRIVERS/BRZ/DXWD.INF
06:59.16 1998-04-08 44432 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1488.DRV
06:59.16 1998-04-08 20124 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1488.VXD
06:59.18 1998-04-08 57095 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1688.DRV
06:59.18 1998-04-08 32386 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1688.VXD
06:59.18 1998-04-08 58359 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1788.DRV
06:59.18 1998-04-08 32386 DIRECTX/DIRECTX/DRIVERS/BRZ/ES1788.VXD
06:59.18 1998-04-08 37344 DIRECTX/DIRECTX/DRIVERS/BRZ/ES488.DRV
06:59.18 1998-04-08 19611 DIRECTX/DIRECTX/DRIVERS/BRZ/ES488.VXD
06:59.18 1998-04-08 47536 DIRECTX/DIRECTX/DRIVERS/BRZ/ES688.DRV
06:59.18 1998-04-08 22683 DIRECTX/DIRECTX/DRIVERS/BRZ/ES688.VXD
06:59.18 1998-04-08 20391 DIRECTX/DIRECTX/DRIVERS/BRZ/ESFM.DRV
06:59.18 1998-04-08 17856 DIRECTX/DIRECTX/DRIVERS/BRZ/ESSFM.DRV
06:59.18 1998-04-08 9952 DIRECTX/DIRECTX/DRIVERS/BRZ/ESSMPORT.DRV
06:59.20 1998-04-08 9895 DIRECTX/DIRECTX/DRIVERS/BRZ/ESSMPU.DRV
